Word,Part_of_Speech,Meaning,Example,Example_VN,Word_Families
abide by,v,"tuân theo, chấp hành (luật, quy định, thỏa thuận)","Employees must abide by company policies.","Nhân viên phải tuân theo các chính sách của công ty.","abide by (v): All staff must abide by the rules. | Tất cả nhân viên phải tuân theo các quy định."
agreement,n,"thỏa thuận, hợp đồng","The two companies reached an agreement.","Hai công ty đã đạt được một thỏa thuận.","agree (v): We agree to the terms. | Chúng tôi đồng ý với các điều khoản. || agreement (n): The agreement was signed yesterday. | Thỏa thuận đã được ký ngày hôm qua. || agreeable (adj): The proposal is agreeable to both sides. | Đề xuất này được cả hai bên chấp nhận."
assurance,n,"sự đảm bảo, lời cam kết","The manager gave assurance of quality.","Người quản lý đã đưa ra sự đảm bảo về chất lượng.","assure (v): The company assured customers of safety. | Công ty đảm bảo với khách hàng về sự an toàn. || assurance (n): We need written assurance. | Chúng tôi cần sự đảm bảo bằng văn bản. || assured (adj): She sounded assured during the presentation. | Cô ấy tỏ ra rất tự tin trong bài thuyết trình."
cancellation,n,"sự hủy bỏ","We received a flight cancellation notice.","Chúng tôi nhận được thông báo hủy chuyến bay.","cancel (v): They canceled the meeting. | Họ đã hủy cuộc họp. || cancellation (n): The cancellation caused delays. | Việc hủy bỏ gây ra sự chậm trễ. || cancelled (adj): The cancelled flight was rescheduled. | Chuyến bay bị hủy đã được sắp xếp lại."
determine,v,"xác định, quyết định","The test results will determine the outcome.","Kết quả bài kiểm tra sẽ quyết định kết quả.","determine (v): Management will determine the budget. | Ban quản lý sẽ quyết định ngân sách. || determination (n): Her determination impressed everyone. | Sự quyết tâm của cô ấy gây ấn tượng với mọi người. || determined (adj): He is determined to succeed. | Anh ấy quyết tâm thành công."
engage,v,"thuê, tham gia","The company engaged a new consultant.","Công ty đã thuê một cố vấn mới.","engage (v): She engaged in the discussion. | Cô ấy tham gia vào cuộc thảo luận. || engagement (n): Employee engagement is increasing. | Mức độ gắn kết của nhân viên đang tăng. || engaged (adj): The manager is currently engaged. | Người quản lý hiện đang bận."
establish,v,"thành lập, thiết lập","The company was established in 2005.","Công ty được thành lập năm 2005.","establish (v): They established a new branch. | Họ đã thành lập một chi nhánh mới. || establishment (n): The establishment of the office took time. | Việc thành lập văn phòng mất thời gian. || established (adj): An established brand attracts customers. | Một thương hiệu lâu đời thu hút khách hàng."
obligate,v,"bắt buộc, ràng buộc trách nhiệm","The contract obligates both parties.","Hợp đồng ràng buộc trách nhiệm của cả hai bên.","obligate (v): The law obligates employers to pay taxes. | Luật pháp buộc người sử dụng lao động phải đóng thuế. || obligation (n): Employees have legal obligations. | Nhân viên có các nghĩa vụ pháp lý. || obligatory (adj): Attendance is obligatory. | Việc tham dự là bắt buộc."
provision,n,"điều khoản; sự cung cấp","The contract includes a termination provision.","Hợp đồng bao gồm điều khoản chấm dứt.","provide (v): The company provides training. | Công ty cung cấp đào tạo. || provision (n): This provision protects customers. | Điều khoản này bảo vệ khách hàng. || provisional (adj): The schedule is provisional. | Lịch trình chỉ mang tính tạm thời."
resolve,v,"giải quyết","The issue was resolved quickly.","Vấn đề đã được giải quyết nhanh chóng.","resolve (v): We resolved the problem. | Chúng tôi đã giải quyết vấn đề. || resolution (n): A resolution was proposed. | Một giải pháp đã được đề xuất. || resolved (adj): She is resolved to improve. | Cô ấy kiên quyết cải thiện."
specific,adj,"cụ thể, rõ ràng","Please provide specific details.","Vui lòng cung cấp thông tin cụ thể.","specific (adj): We need specific information. | Chúng tôi cần thông tin cụ thể. || specifically (adv): He specifically asked for you. | Anh ấy đã đích thân yêu cầu gặp bạn. || specify (v): Please specify the time. | Vui lòng chỉ rõ thời gian."
